Diver,Site,Date ,Year,Segmentid,Species,Colonylength,Colonywidth,Morph code,Transectnum,Sitevisitid,Segment,Seglength,Segwidth,Transectid,Genus,S order,Missionid,Island,Reef zone,Habitat code,Depth bin,Colonyid
JDG,OFU-1289,14-APR-23,2023,15979,MOSP,3,,EM,1,51368,3,1,1,6776,Montipora,Scleractinia,RA2301_LEG3,Ofu & Olosega,Forereef,ROB,Shallow,
CA,OFU-1346,15-APR-23,2023,15989,FUSP,3.5,,FR,1,51383,1,1,1,6786,Fungia,Scleractinia,RA2301_LEG3,Ofu & Olosega,Forereef,AGR,Deep,
MSL,OFU-1291,15-APR-23,2023,15965,MOSP,2,,EM,1,51382,5,1,1,6784,Montipora,Scleractinia,RA2301_LEG3,Ofu & Olosega,Forereef,AGR,Shallow,
MSL,OFU-1291,15-APR-23,2023,15965,POSP,3,,EM,1,51382,5,1,1,6784,Porites,Scleractinia,RA2301_LEG3,Ofu & Olosega,Forereef,AGR,Shallow,
M_A,OFU-1338,15-APR-23,2023,16019,POSP,1,,EM,1,51381,1,1,1,6782,Porites,Scleractinia,RA2301_LEG3,Ofu & Olosega,Forereef,AGR,Mid,
M_A,OFU-1338,15-APR-23,2023,16019,POSP,1.5,,EM,1,51381,1,1,1,6782,Porites,Scleractinia,RA2301_LEG3,Ofu & Olosega,Forereef,AGR,Mid,
M_A,OFU-1338,15-APR-23,2023,16019,POCS,1.5,,EM,1,51381,1,1,1,6782,Pocillopora,Scleractinia,RA2301_LEG3,Ofu & Olosega,Forereef,AGR,Mid,
J_C,OFU-1334,15-APR-23,2023,16047,MOSP,1,,EM,1,51385,1,1,1,6790,Montipora,Scleractinia,RA2301_LEG3,Ofu & Olosega,Forereef,AGR,Mid,
J_C,OFU-1334,15-APR-23,2023,16047,FUSP,3.5,,FR,1,51385,1,1,1,6790,Fungia,Scleractinia,RA2301_LEG3,Ofu & Olosega,Forereef,AGR,Mid,
IGB,TUT-5922,16-APR-23,2023,16065,PSSP,4.5,,KN,1,51402,1,1,1,6804,Psammocora,Scleractinia,RA2301_LEG3,Tutuila,Forereef,PAV,Mid,
CSC,TUT-5816,16-APR-23,2023,16077,POCS,1,,EM,1,51405,3,1,1,6810,Pocillopora,Scleractinia,RA2301_LEG3,Tutuila,Forereef,ROB,Mid,
CSC,TUT-5816,16-APR-23,2023,16077,MOSP,1.5,,EM,1,51405,3,1,1,6810,Montipora,Scleractinia,RA2301_LEG3,Tutuila,Forereef,ROB,Mid,
MSL,TUT-5825,16-APR-23,2023,16083,ASSP,3,,EM,1,51401,5,1,1,6802,Astreopora,Scleractinia,RA2301_LEG3,Tutuila,Forereef,AGR,Mid,
BH,TUT-5893,16-APR-23,2023,16103,LESP,3,,EM,1,51404,5,1,1,6808,Leptoseris,Scleractinia,RA2301_LEG3,Tutuila,Forereef,AGR,Deep,
BH,TUT-5816,16-APR-23,2023,16109,POSP,1.5,,EM,1,51405,1,1,1,6810,Porites,Scleractinia,RA2301_LEG3,Tutuila,Forereef,ROB,Mid,
BH,TUT-5816,16-APR-23,2023,16109,MOSP,4.5,,EM,1,51405,1,1,1,6810,Montipora,Scleractinia,RA2301_LEG3,Tutuila,Forereef,ROB,Mid,
BH,TUT-5816,16-APR-23,2023,16109,MOSP,1,,EM,1,51405,1,1,1,6810,Montipora,Scleractinia,RA2301_LEG3,Tutuila,Forereef,ROB,Mid,
MSL,TUT-5922,16-APR-23,2023,16131,GASP,2,,EM,1,51402,3,1,1,6804,Galaxea,Scleractinia,RA2301_LEG3,Tutuila,Forereef,PAV,Mid,
MSL,TUT-5922,16-APR-23,2023,16131,POCS,3.5,,KN,1,51402,3,1,1,6804,Pocillopora,Scleractinia,RA2301_LEG3,Tutuila,Forereef,PAV,Mid,
J_C,TUT-5888,16-APR-23,2023,16127,ACAS,1,,EM,1,51400,3,1,1,6800,Acanthastrea,Scleractinia,RA2301_LEG3,Tutuila,Forereef,AGR,Deep,
J_C,TUT-5728,16-APR-23,2023,16143,POSP,4.5,,EM,1,51403,3,1,1,6806,Porites,Scleractinia,RA2301_LEG3,Tutuila,Forereef,PAV,Shallow,
J_C,TUT-5728,16-APR-23,2023,16143,POSP,4,,EM,1,51403,3,1,1,6806,Porites,Scleractinia,RA2301_LEG3,Tutuila,Forereef,PAV,Shallow,
DTP,TUT-5888,16-APR-23,2023,16153,LPUR,4,,EM,1,51400,1,1,1,6800,Leptastrea,Scleractinia,RA2301_LEG3,Tutuila,Forereef,AGR,Deep,
DTP,TUT-5888,16-APR-23,2023,16155,ACSP,3,,KN,1,51400,5,1,1,6800,Acropora,Scleractinia,RA2301_LEG3,Tutuila,Forereef,AGR,Deep,
DTP,TUT-5888,16-APR-23,2023,16155,MOSP,4.5,,EM,1,51400,5,1,1,6800,Montipora,Scleractinia,RA2301_LEG3,Tutuila,Forereef,AGR,Deep,
JDG,TUT-5816,16-APR-23,2023,16151,MOSP,4,,EM,1,51405,5,1,1,6810,Montipora,Scleractinia,RA2301_LEG3,Tutuila,Forereef,ROB,Mid,
JDG,TUT-5816,16-APR-23,2023,16151,POSP,4.5,,EM,1,51405,5,1,1,6810,Porites,Scleractinia,RA2301_LEG3,Tutuila,Forereef,ROB,Mid,
DTP,TUT-5825,16-APR-23,2023,16161,ASSP,3,,EM,1,51401,3,1,1,6802,Astreopora,Scleractinia,RA2301_LEG3,Tutuila,Forereef,AGR,Mid,
